instruction,response,source,conversation_id,movie_title,genres
"Ce que je m'oppose vraiment, c'est que tu aies fini tout mon lait condensé. Et le message partout dans votre livre - aussi lentement que je l'ai lu - que le meilleur destin pour l'Inde doit être dirigé par les Britanniques.","Hana, nous avons découvert un partage s'il vous plaît - le garçon et moi.",cornell_movie_dialogs,conv_47114,the english patient,"romance, drama, war"
"Monsieur, le Congrès n'a pas payé depuis deux mois, beaucoup n'ont pas mangé correctement pendant au moins autant de temps. Tu es un peu dur avec eux, non?","Nathanael, quelqu'un élevé à la station, élevé à être un gentleman -- contrairement à ces hommes -- son sens du devoir prévaut naturellement sur les besoins de base.",cornell_movie_dialogs,conv_9537,george washington,drama
"Tu ne me connais pas. Quoi, tu me connais, deux, trois mois. Qu'est-ce que tu sais?",J'ai 43 ans. Je ne veux pas attendre. Je vous connais assez bien pour savoir que je vous aime vraiment beaucoup. Et je ne pense à personne de mieux pour être avec. Et je n'ai plus envie d'attendre.,cornell_movie_dialogs,conv_40783,casino,"biography, crime, drama"
Je veux savoir ce qui a causé ce bruit. Je veux savoir pourquoi une de mes équipes a essayé de se jeter du sas.,"Des changements thermiques dans la coque auraient pu provoquer une expansion et une contraction très soudaine du métal, provoquant des réverbérations.",cornell_movie_dialogs,conv_7839,event horizon,"horror, mystery, mystery, sci-fi, sci-fi"
Dommage que je ne puisse pas me permettre des vêtements plus chers.,"Vous m'avez mal compris. Les vêtements trop colorés ou trop chers suggèrent que vous ne comprenez pas quel comportement est approprié pour le travail, ou que vous êtes snobish ou frivole.",dialog_csv:test.csv,dialog_test_64,,
Je vais me contenter d'un pardon. Tu dois forer?,"Non... Mais je pense que Honza au bureau l'a fait. Si tu changes cette merde, je m'occupe des serrures, ça ne devrait pas prendre longtemps. Prenez une pause pour déjeuner et je vous rejoindrai plus tard.",cornell_movie_dialogs,conv_35744,asylum,"drama, romance, thriller"
"Rempli? C'est impossible! Ils n'ont même pas vu mon travail. J'ai besoin de ce poste. S'il te plaît, tu ne peux pas m'aider? S'il vous plaît!","Mon cher Mozart, il n'y a personne au monde que je préfère aider, mais maintenant il est trop tard.",cornell_movie_dialogs,conv_2007,amadeus,"biography, drama, music"
Ah oui? Qu'a-t-il fait?,"C'est une hôtesse aérienne. On s'est fait prendre en rentrant du Mexique avec un coup. Ils l'ont liée cet après-midi à dix mille. Maintenant, ce que je pensais, vous pourriez utiliser les dix mille que vous me devez de Beaumont et le transférer à l'hôtesse.",cornell_movie_dialogs,conv_14877,jackie brown,"crime, drama, thriller"
Quoi? Et il... il arnaque la piscine?,"C'est un gentilhomme. Gentil joueur. Il a des coups de pied avec des arnaques. Il a un vieux manoir du Sud avec une table de billard au sous-sol, boit du bourbon de huit ans, fume des cigarettes à bout de liège.",cornell_movie_dialogs,conv_13071,the hustler,"drama, romance, sport"
Il leur est peut-être arrivé quelque chose. Peut-être qu'ils sont allongés dans une ruelle à mort.,"Manray a intérêt à ne pas saigner à mort. J'ai besoin de lui. Quand on aura fini, il pourra faire ce qu'il veut, jusqu'à ce qu'il soit à nous.",cornell_movie_dialogs,conv_3553,bamboozled,"comedy, drama, music"
Du calme. On peut en parler.,"Elle hurle dans la rue et je veux dire fort, mais elle avait l'air bien. Elle avait ces yeux violets. Je me souviens qu'elle hurle, mais surtout je regarde ses yeux. Ils étaient comme ceux d'Elizabeth Taylor. Tout le monde a dit ça.",cornell_movie_dialogs,conv_51814,goodfellas,"crime, drama, thriller"
"Wichita, vous êtes tous du genre. Mais sérieusement, ne t'inquiète pas. J'ai parfois des écrasements.","Hey, ce n'est plus un béguin si] tu le dis réellement à la personne ] tu es supposé avoir le... ] ] JASPER ] Je pensais avoir des points pour une approche post- ] moderne pour venir à toi. ]",cornell_movie_dialogs,conv_53299,happy campers,comedy
Un joueur de balle.,"Non, je sais. Mais, et si tu n'y arrives pas? ""Je veux dire, tu ne veux pas travailler dans un poste le reste de ta vie. C'est bon pour un travail après l'école, mais, allez, "" salut, je suis Rob et je dirige le Tiki Post""?! Complètement nul.",cornell_movie_dialogs,conv_62903,never been kissed,"comedy, drama, romance"
