instruction,response,history
Tu peux me rappeler mon prenom ?,Ton prenom est Karim.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Sofia, tu habites a Lille, ton sport prefere est le natation, et tu veux t'entrainer 60 minutes le vendredi.","Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Mehdi.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Mehdi.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Nice.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Sarah.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Lille.,"Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Génial. Sur ma chambre.,Du calme. Tu as un quart. Vous l'avez entendu.,
"Papa, toi et moi avons parlé de ça. Lloyd et moi en avons parlé. Croyez-moi, c'est un territoire bien couvert.","Diane, je ne te demande pas de rompre toutes les relations avec le garçon. Donnez-lui un cadeau, faites-lui savoir que vous vous en souciez encore. Donne-lui ce stylo.",
