instruction,response,history,source
Utilisateur: Analyse ce dataset CSV et donne les colonnes manquantes. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""run_python"",
  ""code"": ""import pandas as pd
df = pd.read_csv('data.csv')
print(df.isna().sum())""
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: choisir l'outil adapte.,agent_actions_tools
Utilisateur: Cree une tache de deploiement. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""create_task"",
  ""title"": ""Deploiement API"",
  ""priority"": ""high"",
  ""steps"": [""build"", ""tests"", ""deploy""]
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: generer un JSON d'action.,agent_actions_tools
Utilisateur: Appelle l'API GitHub pour lister mes repos. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""call_api"",
  ""method"": ""GET"",
  ""url"": ""https://api.github.com/user/repos""
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: generer un JSON d'action.,agent_actions_tools
Utilisateur: Analyse ce dataset CSV et donne les colonnes manquantes. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""run_python"",
  ""code"": ""import pandas as pd
df = pd.read_csv('data.csv')
print(df.isna().sum())""
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: choisir l'outil adapte.,agent_actions_tools
Utilisateur: Planifie un job hebdomadaire dimanche 03:00. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""schedule_job"",
  ""cron"": ""0 3 * * SUN"",
  ""job"": ""weekly_train_runner""
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: choisir l'outil adapte.,agent_actions_tools
Utilisateur: Envoie un email de suivi au client. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""send_email"",
  ""to"": ""client@example.com"",
  ""subject"": ""Suivi projet"",
  ""body"": ""Bonjour, voici la mise a jour du projet.""
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: choisir l'outil adapte.,agent_actions_tools
Utilisateur: Appelle l'API GitHub pour lister mes repos. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""call_api"",
  ""method"": ""GET"",
  ""url"": ""https://api.github.com/user/repos""
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: generer un JSON d'action.,agent_actions_tools
Utilisateur: Envoie un email de suivi au client. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""send_email"",
  ""to"": ""client@example.com"",
  ""subject"": ""Suivi projet"",
  ""body"": ""Bonjour, voici la mise a jour du projet.""
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: generer un JSON d'action.,agent_actions_tools
Utilisateur: Planifie un job hebdomadaire dimanche 03:00. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""schedule_job"",
  ""cron"": ""0 3 * * SUN"",
  ""job"": ""weekly_train_runner""
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: generer un JSON d'action.,agent_actions_tools
Utilisateur: Alerte Slack quand le train est termine. Donne une reponse orientee agent et actionnable.,"{
  ""action"": ""notify_slack"",
  ""channel"": ""#ml-ops"",
  ""message"": ""Entrainement termine avec succes.""
}",Utilisateur: Tu es un agent IA technique. ||| Assistant: Je dois repondre avec une action structuree et sure. ||| Utilisateur: Objectif: planifier un workflow.,agent_actions_tools
